taxon,dataset,samp_depth,species,sample,number_loci_shared
epi,ddrad,t1,Ahah,Ahah_R0089a,279
epi,ddrad,t1,Ahah,Ahah_R0089b,279
epi,ddrad,t1,Eant,Eant_T6859a,6673
epi,ddrad,t1,Eant,Eant_T6859b,6673
epi,ddrad,t2,Ahah,Ahah_R0089a,607
epi,ddrad,t2,Ahah,Ahah_R0089b,607
epi,ddrad,t2,Eant,Eant_T6859a,13813
epi,ddrad,t2,Eant,Eant_T6859b,13813
epi,ddrad,t3,Ahah,Ahah_R0089a,857
epi,ddrad,t3,Ahah,Ahah_R0089b,857
epi,ddrad,t3,Eant,Eant_T6859a,17566
epi,ddrad,t3,Eant,Eant_T6859b,17566
epi,ddrad,total,Ahah,Ahah_R0089a,1166
epi,ddrad,total,Ahah,Ahah_R0089b,1166
epi,ddrad,total,Eant,Eant_T6859a,21658
epi,ddrad,total,Eant,Eant_T6859b,21658
rana,ddrad,t1,Rber,Rber_T1113a,10643
rana,ddrad,t1,Rber,Rber_T1113b,10643
rana,ddrad,t1,Rchi,Rchi_T2034a,1401
rana,ddrad,t1,Rchi,Rchi_T2034b,1401
rana,ddrad,t2,Rber,Rber_T1113a,26384
rana,ddrad,t2,Rber,Rber_T1113b,26384
rana,ddrad,t2,Rchi,Rchi_T2034a,7836
rana,ddrad,t2,Rchi,Rchi_T2034b,7836
rana,ddrad,t3,Rber,Rber_T1113a,38593
rana,ddrad,t3,Rber,Rber_T1113b,38593
rana,ddrad,t3,Rchi,Rchi_T2034a,15529
rana,ddrad,t3,Rchi,Rchi_T2034b,15529
rana,ddrad,total,Rber,Rber_T1113a,46217
rana,ddrad,total,Rber,Rber_T1113b,46217
rana,ddrad,total,Rchi,Rchi_T2034a,20782
rana,ddrad,total,Rchi,Rchi_T2034b,20782